maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
migration	movement	human movement	move	population growth	migration process	emigration	flux of people	movement of people	people move	transitor	population trend	population change	movements	population flow	people move about	natural migration	voluntary movement	human migration	mass migration
stone	gemstone	sapphire	crystal	ruby	gem	precious stone	theophyte	natural gemstone	natural stone	gem stone	azure gemstone	carnomial name	azure-colored stones	azurite	cubic zirconia	azure-colored gemstone	chalcedony	carnomial group	carnomial class
person	court person	writer	politician	leader	political leader	fictitious character	theologist	footballer	sportsperson	bookbinder	bookman	thespian	theologian	jurisconsult	wrestler	lawyer	legal expert	poet	actor
bread	pastry	carbohydrate	baguette	food product	pastry dough	pastry baguette	cutlet	food item	handbag	ciabatta	breakfast baguette	carbohydrate food	hand-formed piece of dough	sourdough product	hand-formed piece of paper	carbohydrate soluble product	hand-rolled ladle	French bread	hand-rolled legumes
person	imaginary creature	playwrighting	fictitious character	fictional character	literary work	story	film	literary composition	fictitious character.	character	picture	tale	villain	eponym	historical period and place of origin	vicarious animal	fictitious figure	musical composition	vicarious manoeuvre
city	indentity	town	person	indigene	fictitious character	locale	edifice	county town	county courthouse	fictitious place	township	indigeneity	fictitious place of residence	fictitious town	work of art	fictitious city	fictitious location	fictitious country	geographical point
social networking site	social network	news organization	mass media	periodical publication	newspaper	publication	written language	magazine	mass medium	news source	medium	public press	web site	news site	paper	piece of work that has been published in the New Republic	piece of work that has been published in the new republic	piece of work published in the New Republic	piece of work of art
philosophy	thought process	philosophical system	belief system	idealism	free-thought	religiousness	free-will	freethought	religious person	liberalism	social freeness	freewill	social science	librethought	theism	philosophical theory	theist	freemanship	thinking
map	local government district	dialect	written language	local dialect	local government area	political organisation	person	ethnic group	language	hindi	national language	chinese dialect	official language is hindi	official language is english	chinese alphabet	suffragist	latinized name	gov	linguistics
observable	justness	justice	victory	satisfaction	lawfulness	acquity	acquittal	acquittance	equivalence	recompense	legality	legal certainty	verdict	decision	relative acquittal	jurisprudence	justification	justiciableness	fact
violet	color	deep blue	shade	colour	chemical group	purple	viola	indigo	chemical process	thespian	vividness	colored substance	hue	cobalt	viscosity	infra-red	shade of blue	cyan	light blue
calendar year	time period	calendar month	measure	chronological order	period of time	conjectural	academic year	period of measurement	metric unit	thematic unit	periodical publication	theological year	perseverance	permutation	academic calendar	thesaurus	chronological time period	time unit	periodical publication.
person	writer	work of art	literary work	political leader	leader	poetess	jurisconsult	lawmaker	suffragist	write-up	emaciated person	edifice	literary and poetical work	written language	literary person	bookman	literary and poetical work.	literary and poetical works	literary and prose fiction
palm	hand	plant	handkerchief	palm tree	plant part	horde	thorn	tree	piece of wood	biospheric organism	theoretical category	fingernail	ethnologist	biosynthetic material	handbag	fingernails	biospheric organ	biospherical structure	theoretical system
person	writer	author	contestant	personal name	natural person	thespian	scholarly person	jock	sportsperson	person and work of art	surname	person/persona	person/personn	person/personacle	first name	personal name; first name	person and bookman	personal name; surname	bookman
person	wanderer	independent person	traveler	individual	explorer	traveller	venturer	adventurer	rebel	personality type	solitary person	olympiad	contemporary music group	lexical class	avogadope	nonconformist	avogadro	contemporary music genre	contemporary
storage medium	storage device	physical system	physical property	sphere	container	perissima	perissimism	cartography	perissima pod	agronomical device	apodymes	cartographic symbolism	perissimus	technical specification	aperiodic device	inanimate object	cartographic illustration	sextant	cartographic symbolisation
wood	woody material	equator	material	non-renewable resource	edifice	natural resource	natural substance	wood material	woody substance	photovoltaic device	building material	non-renewable natural resource	resource	non-renewable natural resources	renewable resource	non-renewable matter	non-equivalent	non-medicinal plant	equilateral lemnosity
person	philosopher	mathematician	poet	poetess	scientist	aristocrat	astronomer	scientific name	divine person	contemporary music	literary work	philosopher of scholasticism	figure of speech	astronomical theory	astronomical person	theologian	writer	rock music	classical music
airborne artillery	artillery	weaponry	artillery artifact	fire	misdemeanour	weapon of mass destruction	explosive device	military branch	gunned down	firing	electrical energy	electric energy	misdemeanor	enemy fire	gunfire	weapon of war	airborne artillery artifice	military branch; military force; artillery	kinetic energy
geographical point	mapmaking	land area	country	natural area	locus	island	natural elevation	kingdom of macedonia	equatorial province	equatorial region	equatorial unit	kingdom of kings	granitic country	granitic island	micro-environment	polity	dominican territory	area of outstanding natural magnificence	kingdom of macaques
misbehaviour	fault	mishap	musical style	extinguisher	misfortune	motorway accident	motor vehicle accident	trouble	error	haphazardness	misdemeanour	misdemeanor	faults	misfortuna	exaggeration	incendiary event	incendiary incident	odour	extinguishing effect
automobile manufacturer	company	corporation	concern	manufacturer	business enterprise	enterprise	business name	car maker	maker	manufacturing plant	brand name	edifice	carmaker	business entity	manufacture	business organisation	venture	structure	car manufacturer
economics	economic science	social science	theory	market economy	applied economics	practical economics	business economics	study of economics	economic sciences	social economics	mathematicians	mathematical sciences	mathematical analysis	study of economics.	economic theory	applied economics.	theoretical physics	mathematic sciences	practical economics.
picture	representational process	image	visual art	data-storage medium	work of art	pictorial representation	pictorial form	pictorial illustration	representational linguistics	representational activity	representational science	pictorial representation.	pictographed object	pictographed picture	pictograph	pictorial presentation	pictographed work	pictographed structure	pictographed area
breakdown	decay	degradation	chemical process	process	physical process	molecular process	disintegration	deterioration	decomposition	diminution	break down	dissolution	biochemical process	destruction	organic chemistry	atomization	break-down	organic synthesis	deionization
need	needing	want	necessity	practical advice	function	requirement	monetary unit	written language	work of art	physical property	deficiency	neccesity	necesity	endowment	necesitate	linguistics	citation	materialistic behavior	fortify
plant	animal	plant species	genus	vascular plant	plant family	reptile	phytoplankton	plant group	homopterous animal	aquifer	plant part	cycad	arachnid	flowering plant	herbaceous plant	taxonomic group	equus	petiole	carnivory
company	passenger transportation company	corporation	concern	car maker	automobile company	business organisation	person	firm	edifice	corporate brand and brand image	corporate brand and brand name	business concern	production facility; manufacturing plant	corporate brand and brand management	corporate identity and brand image	corporate brand and brand identity	corporate brand	production line	corporate identity and brand name
praise	hymn	song	anthem	divine edifice	praise and arousal	musical composition	praise and adulation	rock 'n' roll	religious anthem	praise and thanksgiving	praise and awe	praise and apology	congregational chorus	rock n' roll song	praise and acclaim	congregational chant	religious chant	praise music	divine benediction
work of art	astronomical object	computer code	coding system	computer software	thespian	computer programme	micro-computer	software	firm	corporation	venture	enterprise	software program	computer program	software package	telecommunications equipment	radio telescope	technical specification	electronic equipment
oak	tree	eucalyptus	plant	woody plant	conifer	oak tree	wild oxen and carnivore	elm	wild oxen and carnivory	wild oxen and deer antlers	tussophyllum species	wild oxen and deer antler	thermophyte	wild oxen and deer	nonfertilized herbaceous plant	wild oxen and fowl	nonfertilizer	non-native species	eucalyptus tree
competition	olympic or other type of contest	social event	motor sport	game	contest	social occasion	contestant	event	olympic or similar type of event	olympiad	olympic sport	team competition	competitiveness	political organization	social gathering	group event	agriculturist	olympic or other type of sport	agri-cultural activity
car	motor vehicle	automobile	automaker	make-up	oem	oem automotive engineering	maker	emboli unit	work of art	make-up and design	product	make-up and style	make-up and appearance	make-up and automobile manufacturer	manufacturing plant	automotive industry	manufacturing unit	production line	make-up product
cell culture	biology	cultivation	experimentation	culture	scientific research	method	practice	scientific method	cellular biology	laboratory science	cellular culture	knowledge organization	biological process	scientific culture	biological science	bioscience	cellular science	scientific discipline	plant science
motor vehicle	work of art	transport	proclivity	practical mechanics	bodily process	physical phenomenon	physical process; human movement	vehicular transport	practical mathematicians	mathematical process	proclues	practical mathematician	stewardship	practical mathematician.	proclueding	inclination	practical application of knowledge	technical specification	means of transport
boundary	boundary line	confinement	physical system	zone	line	restriction	contiguous area	contiguous space	line of reference	contiguous line	contiguous section	geographical point of intersection	place of business establishment	physical boundary	place of origin	local government	geographical point of reference	geographic point	geographical point of entry
commerce	thespian	exchange of goods	business transaction	trade	transaction	commercial activity	economics	business process	dealings	monetary unit	economic science	transtransferred object	transtransferral	transtransferred goods	transtransaction	transtransferred information	trans-border movement	commercial enterprise	interdependence
taxation	tax	charge	levy	fee	motor vehicle fuel	per centimeter	net profit	expenditure	cost	budgeting and economics	pay for use	pay for life	perceptible expense	fiscal discipline	per centimetre of area	budgeting and fiscal policy	budgeting and economics.	budgeting and fiscal policy.	rate
animal	tetrapod	bisexual sexuality	flirp	carnivore	insect	bird	animal species	frog	tetrad	animal animal	sea creature	parrot	nymph	procyonid molecular entity	procyonid molecular biology	flouncer	procyonid molecular organization	procyonid molecular entities	biped
architectural element	built structure	structure	technical specification	cabin	room	motor vehicle	vehicle	aeroplane	aeronautical device	internal structure	edifice	architecture	interior space	interior	internal space	constructed structure	technical specification.	built environment	storage medium
covering	textile	coverall	cover	textiles	cloth	clothed area	clothed surface	fabric	abrasive material	clasificature	cover-up	acoustic material	abrasive substance	cladding	thermostat	thematic unit	uniformity	acoustic instrument	work of art
locale	public park	geographical point	natural elevation	land site	point of interest	locus	natural depression	map	point of entry	area of conservation area	pond	point on the map	marine park	public beach	parkland	park	area of concern	point of land ownership	point in the world
transporter	person	traveller	freight transporter	passenger transport	ship transporter	driver	transport	haulier	carnatic music group	carnivore	tradesman	cartographer	mover	proclator	passenger transporter	carnatic arts	moving vehicle	tradesperson	train carriage
policing	armed forces	policier	police force	person	law-enforcement agency	law enforcement	law-abiding person	chief of the staff	law-giver	detective agency	policiers	government agency	guardian	security guard	law-abiding public servant	law-abiding group	law-given authority	enforcer	chief of state/chief of government/equivalent
periodical publication	period of time	historical period	country of origin	country	city	edifice	era	writing style	book	political organization	writing style.	political organisation	printing press	book series	social class	political system	social function	thematic category	setting
delay	time interval	retardation	due to physical phenomenon	technical specification	slackness	time period	slowness	lag	delay in action	retard	interval	misbehavior	misbehaviour	non-predistribution	non-linear movement	non-predisposition	non-verbal communication	incontinence	inability to finish a task
psychology	psychological science	social psychology	social science	mental health science	psychosocial science	mental health	bioscience	knowledge organization	personnalist	psychopathology	psychosocial theory	psychologie	study of the environment	knowledge processing	methodology	personhood	subjective experience	perception	sociology
plant	herb	molecular biology	natural product	chemical group	herbicide	animal	anti-inflammatory drug	drug	compound	tertiary compound	plant genus	tertiary substance	alkaloid	thermoglobin	thermosphere	thermophore	thermoplastics	gastric acid	biochemical group
business entity	person	firm	business organization	corporation	partnership	enterprise	solopreneur	independent man	political organization	political organisation	legal person	business type	company	concern	venture	taxonomical category	businessperson	aristocrat	aristocratic person
person	writer	humanist	author	leader	actor	politician	literary work	philologist	dramatist	political leader	sportsperson	astrophysicist	pc game	equid	fictitious character	equus	satirist	fictitious person	biologist
city	town	local government area	island city	locale	country	locus	hamlet	work of art	area of knowledge	market town	area of interest	oman	public administration	county court case	local government district	district	place of residence	area	person
picture	representational process	geometric shape	photographic art	data-storage medium	work of art	pictorial representation	figure	image	pic	picture show	photographic medium	drawing	visual symbol	equidistant	pictorial form	visual art	pictorial character	pictorial shape	arithmetic expression
mood state	low mood	poor quality of life	poor quality of sleep	cyclical phenomenology	stridor	physical phenomenology	state of mind	decrement	suffocation	stridement	trance	physical ailment	stridal period	cyclical phenology	gloomy period	period of time of low mood	period of time of low morality	a condition of physical state	a condition of difficulty
person	antichrist	anti-christ	spiritual being	person of god	person of God	christ	celestial being	godhood	fictitious character	king	fictitious person	reigning deity	persona nongrata	celestial being.	fictitious being	divine person	celestial body	anti-person	religious person
wand	weapon	tool	power tool	physical system	hand tool	awand	technical specification	implement	magic instrument	magical implement	stick	scepter	utensil	string of words	utensils	horoscope	wand and implement	torsionally isolated substance	torsionally isolated electrical device
highway	freeway	expressway	main road	superhighway	highway traffic control system	built-up area	thoroughfare	route	construction site	edifice	the freeway	controlled-access highway	constructed structure	way	major road	state highway	new england / new portuguese spelling	new england / new portuguese language accord	supermajor thoroughfare
research	cell biology	cell research	cell culture	medical science	cell therapy	bioscience	biotechnology	cell division	cell research and development	cell research and science	plant cell biology	knowledge organization	cell line research	cell research.	plant cell research	biological science	scientific research	cell	scientific method
person	writer	author	jurisconsult	political leader	journalist	entrepreneur	literary scholar	literary person	business owner	sculptor	storyteller	leader	lawyer	legal expert	scholarly work	figurehead	fictitious character	scholarly person	philologist
bodyguard	person	guardian	protectee	gatekeeper	security guard	watchdog	aristocrat	physical barrier	protector	official	supervisor	politi-ess	politi-economist	chief of state	control room (control room)	defender	checkpointkeeper	control room	guard
money	deposit	account receivable	monetary fund	monetary unit	money supply	funds	consignment	asset	account receivables	stockpile	monetary unit.	deficiency	indebtedness	stored-value proposition	consignment of property	deficiency.	written record	written evidence	consignment of goods
sphinx	apex of the celestial body	anti-gravity	Sphinx	pharaoh	person	deity	egyptid	phoenix	god	godhead	egyptian mythology	figurative art	gypseus	colossus	egypte	representational process	abode	shape of shape	anti-grave
musical work	musical composition	artifact	thematic unit	linguistic unit	symbolism	written document	theme	poetic language	rhyme scheme	book of rhyme	thematic focus	technical specification	thematic group	linguistic category	thematic area	thematic theme	artifice	thematic category	thematic element
robber	criminal	persuasion	person	burglar	thief	murderer	persuader	robbery	kidnapper	unjustifiable person	assassin	assailant	predilection	deceit	stealth	persuasioner	liar	violent robbery	violent robbery/terrorist
person	female person	hermaphrodisiac	adolescent	maternal person	child	narrator	maternal psychiatric disorder	maternal figure	she is my mother	human being	persona non grata	young person	woman	congenital tegnogeneity	congenital hyacinth	congenital tegnus	congenital tegnogen	female	biological group
test	examination	written document	instruction	work of art	written work	written report	written description	written communication	questioning	scholarly research	scholarly literature	research	academic writing	write-up	scientific research	examiner and judge	written exam	academic text	academic textual expression
person	prosecutor	lawmaker	legal expert	jurisconsult	jurist	politician	lawyer	leader	court lawyer	chief	political leader	boss	writer	attorney	scholar	politburo	h1n1 person	h1n1 qualifier	man of letters
person	king	emperor	monarch	court painter	period of time	theocrat	ruler	theologian	leader	aristocrat	courtier	painters	king of england	theocracy	court sociologist	king of britain	courtly person	reigning tyrant	courtly name
incendiary act	abrasiveness	misdemeanor	act of violence	extinguishment	combustible medium	chemical process	incensate combustion	misdemeanor and criminal offence	extrusion	incentivization	misdemeanor and criminal offense	incentivation	misbehaviour	incentivized conduct	incentivized act	extinguishing	adolescent development	destruction	misdemeanour
city	town	person	township	country	locale	king	place of residence	monk	place of origin	indigenous peoples	native language	monograph	indigenous people	humanist	asian country	astronomical object	ethnicity	indigenous person	monk or god
town	city	locale	municipality	village	local government area	neighborhood	place	place of business	hamlet	area of land	town; locale	urban area	urban district	community	local government district	municipal district	suburban community	suburban area	small town
atom	chemical group	micro-organism	mathematical category	mathematical symbol	molecular entity	alkaloid	molecular biological group	sigma	mathematical character	molecular biology	mathematical function	mathematical relation	mathematical state	abbreviation	polygonal moniker	diacritic symbol	abbreviated name	atomic quantity	diacritic term
coat	clothing	clothes	garment	coverall	overcoat	uniform	suit of clothing	clemson jacket	pc sportcoat	coat of arms	armoured jacket	pantsuit	armoured combat suit	overgarment	armoured armour	armlet	cloak	armoured bodysuit	mante
transport infrastructure	single-vehicle transport	traffic control system	expressway	main road	freeway	built environment	motorway	highway	controlled-access highway	route	infrastructure	emi-diaphragm	principally meant for use in one direction only.	built-up area	principally responsible for the design and construction of a vehicle	emi-dimensional unit	principally meant for use in one direction only	principally responsible for the design and construction of a highway	principally responsible for the design and construction of a facility
person	mentor	subordinate	teacher	instructional leader	leader	personage	progenitor	altruist	conjuror	progeniture	mentorial relationship	relative	prodigious child	progeny	knowledge institution	prodigy	mentorial person	tutor	tutoring
metric unit	watt	megawatt	unit of measure	dimensionless quantity	unit of measurement	metric watt	micrometer	picowatt	measuring unit	metric units	measured quantity	joule	pictorimetric unit	milliwatts	measuring units	rating	nanojoule	milliwatt	quantity
person	animal	scavenger	machinist	antiquated artifact	weapon	working man	hand tool	tool	offensive weapon	savage	scouter	hunter	mole	deterrent	antiquated artefact	scapper	battle octupuration	battle guernseyer	battle olympiad
round	mathematical function	metric unit	measuring device	measure	metric	cartography	measurement	natural round	geometric shape	mathematically defined unit	mathematical unit	mathematically stable quantity	part of cartography	geometrical shape	part of a circle	metric units	coinage artifact	unit of measurement	metric dimension
abstinence	cleansing	physical process	natural action	rinsing	washing	process	natural process	clean-up	dishwashing	cleansiness	persuasion	aeration	aqueous exfoliation	exfoliation	subsistence unit (subsistence)	chemical action	perfunctory language	perspiration	persuading
book	bound book	storage medium	binder	box	storage device	packing material	adverb	soft-cover book	sack	package	tidiness	lexical unit	sleeve	plyer	soft-backed book	stapling	lexicology	booklet	divider
city	town	state	county	locale	place of residence	place of worship	the state of america	state of Kansas	in the united states	local government	the state of Kansas	map and locus	in the United States	place of origin	place of birth	map and locator	in the world.	territory	land area
person	chief	chief of staff	leader	boss	chief of state	chief executive	executive director	thespian	public servant	horloger (ph.d.)	political leader	head of government	management	presiding officer	functionary	plenipotentiary	journalist	executive	editor
work of art	visual communication	visual arts	visual art	assemblage	painting	picture	edifice	pictorial representation	tetralogy	artistic process	communication medium	artistic technique	collage	work in progress	working on a piece	working on a collage	artistic technique (art technique)	image processing	technical specification
mental disorder	affliction	symptom	ailment	sickness	mental illness	disorder	motion sickness	discomfort	physical phenomenon	tenseness	physical ailment	feeling of heaviness	irritability	constriction	muscle spasm	the condition of being uncomfortable	sufferer's condition	distastefulness	sufferer's distress
county	countyship	municipality	local government	place of administration	city	locale	mapmaking	agglomeration	township	municipal county	municipal government	metropolitan county	area of land constituency	administrative unit	indicator	homonymy	place of residence	homonym county	geographic region
person	musical group	musical style	musical ensemble	musical composition	sculptor	musical theater	author	painter	dramatist	personal name	artist	writer	singer	actor	roman director	olympiker	music group	linguistics	operatist
university	educationist	college	educational institution	public university	school	higher education	institution of higher education	academic institution	academy	scholarly research university	public institution	u.s. university	theologically illuminating entity	aristotelian republican university	theologically illuminating institution	aristotelian order	pedagogical method	scholarly person	pedagogical system
physics	natural science	general relativity	observable	physical science	fundamental physics	mechanics	equational theory	astrophysics	problem	study of physical science	field physicist	observables	mathematical physics	field physics	phnology	edifice	physicist	equilibrium theory	quantum mechanics
person	rhapsodic figure	scholar	chief of state	aristocrat	king	ancient egyptian ruler	ancient egyptian leader	rhapsodic leader	chief	head of state	figure of speech	political leader	theologian	emperor	monarch	pupil of king john lear	civil war between england and norvölk	herald of the ancient world	patrician
happening	occurrence	event	function	observable	incident	occasion	social event	natural phenomenon	period of time	proclivity	contemporaries	sociable phenomenon	concordance	proclology	sociable organization	happenings	condensed form	conscientiousness	moment in time
transmission channel	data-storage medium	transmission	tegment	technical specification	telepathic communication	arithmetic function	mathematical function	information channel	data channel	channel	storage medium	measure	measurement	data source	data medium	medium	transitory transfer	transitory process	lexical class
person	mathematician	scientist	physicist	philosopher	thespian	thinker	scholar	learned person	intellect	intellection	research physicist	enlightened person	philosophy of science	cognomen	pedagogical person	research heterodox and orthodox	brainstrenger	brainstrengthening	scholarly person
person	hunter	criminal	seeker	law-breaker	detective agency	persecutor	searcher	bounty hunter	thief	personhood	shopper	smuggler	man of law	law-abiding person	man of arms	criminal offense	law-abiding citizen	sleuth	unlawful person
parliament	legislative body	legislative assembly	assembly	state legislature	law-makers	unicameral legislature	chamber	unicameral parliament	parlamentarie	apex organ	parlamentarian	chamber of parliament	parlamentaria	parliamentary system	federal legislative assembly	indebtedness	political organisation	parliamentary assembly	independant body
book store	publisher	bookshop	work of art	book	publishing house	publication	library science	printing press	textfile	firm	public library	ed.	book publishing house	library science ed.	technical specification	e-book	edifice	private imprint	printed matter
formula	equation	mathematical function	function	mathematical relation	mathematical operation	calculation	technical specification	formulae	formulas	rule of thumb	mathematic expression	metric unit	mathematical expression	metric system	work of art	rule of third	text file	mathematical formula	definite quantity
contractor	constructor	subcontractor	firm	general contractor	builder	construction company	architect	person	entrepreneur	contracting company	construction worker	proprietorship	building tradesman	profanity	building tradesperson	techniche	construction manager	technologist	technicny
work of art	musical composition	monaconian language	piece of music	album	periodical publication	epoch	monastic period	record album	ephemeral substance	ephemeral phenomenon	phenomenon	lexicographical category	ephemeral art	apocryptology	lexicological category	calendar month	lexicology	monad	monaconian language; astrophysics.
mode of transport	path	mode de transport	edifice	railway track	means of travel	line of sight	cartography	system of numbers	physical system	travel	movement	system of measurement	way	physical environment	physical infrastructure	cartographic representational process	navigational device	system of lines	system of roads
"attack	computer network attack	denial-of-service	network attack	cyber attack	malicious activity	denial of service	software program	computer programme	cyberattack	known as ""distributed resource""	persuasion	known as a ""distributed resource""	known as ""distribution of resources""	known as ""distribution of information""	known as ""cyberattack""	known as ""distributed host""	apocalypse	denial-service attack	cyber-attack"
city	town	locale	locus	municipal government	city district	municipality	small town	township	local government	edifice	new mexico city	place name	new mexico town	portugus	port of entry	municipal administration	metropolitan area	port city	port of call
yard	measure	measurement	square foot	land parcel	square footage	metric unit	unit of space	unit of area	perimeter	measuring unit	square meter	monetary unit	square inch	square yard	hectare	square meters	cartographer	parcel of land	nautical mile
physical phenomenon	sensorimotor system	kinesis	movement	kinesiology	biomedical science	phenomena	sensation	bodily sensation	psychopathology	perceptual perception	physical science	neuropsychiatric disorder	perceptual experience	bio-science	neuropsychology	psychopathologies	sensory system	mental process	bioscience
act of rebellion	rebel	person	protestant	contestant	opposition	rebellion	violent person	agitator	non-conformist	nonconformist	libertarian	libertist	political protest	dissenter	political movement	armed opposition	social action	political opinion	political action
measure	measurement	measuring system	measured quantity	measurements	scale	unit of measure	measuring unit	dimensionless unit	metric unit	metric system	theta	metric units	measured units	system of measurement	technical standard	system of measurements	technical specification	measured length	distance measurement
person	musician	military branch	military man	songwriter	composer	practitioner	writer	teacher	tennis player	educator	court musician	musical director	thespian	political leader	military rank	leader	military service	conductor	essayist
food product	granular material	granule	cereal	plant	grain	product	food	food item	carbohydrate	grain product	foodstuff	granulated foodstuff	biopolymer	plant material	fruit and veg	non-food ingredients	granules	granulated matter	granulated substance
drug	medicine	generic name	alkaloid	medication	sulfate	pharmacological class	hydrocortisone drug	clopidogrel	pharmacological drug	hydrocortisone antagonist	disulfate	alkylating agent	hydrocortisone tablet	pharmacological agent	hydrocortisone solution	pharmacotherapy	hydrocortisone	hydrocortisone medicine	hydrocortisone medication
garment	clothing	clothes	cloth	turban	dishwashing liquid	musical composition	shawl	kimono	piece of music	sarong	ceremonial occasion	body part	man’s clothes	manicurist	man’s clothing	manioplast	theological system	mantle	theological text
plant	plant part	genus	plant name	scientific name	plant material	chemical group	gentian	weed	vascular plant	phytoplankton	botanical name	angiosperm	genital	plant parts	cosmetology	plant pathology	woody plant	organic compound	conifer
weapon	tool	insecticide	handheld device	swatter	working man	pesticide	implement	weaponry	weapon system	workingman	ejector	watter	hand tool	blowtorch	swatting device	baseball bat	bat	pitchfork	working person
stone	pavers	pavement	edifice	cobblestone	sandstone	equilateral plane	work of art	paving material	pave and pavers	granular material	pave and paver	construction aggregate	pave	pave and pavé	granular product	street pavement	granular aggregate	paved street	granular structure
mechanical assembly	moveable object	manual labor	control panel	pc game	manual labour	mechanism	move	movement	keyboard	touch screen device	electronic device	movable point of reference	movable piece of equipment	commodification	movable pointer instrument	movable part	actuating device	movable piece of furniture	movable device
virus	pathogen	infectious agent	disease	organism	illness	pathogenic virus	viruses	microorganism	infectious disease	pathogenic	viral disease	bacteriococcus	bacillus flavivirus	virological agent	virological condition	transmissible person	virological category	bacteriovirus	bacteriococcus infection
person	creator	maker	workman	source of information	entrepreneur	artisan	manifold	inventor	someone else	producer	man of letters	author	lexical category	evaluator	constructor	typist	aficionado	propriofessionist	dbmg
disease	cell death	sickness	body process	breakdown	cellular death	disorder	cellular process	pathology	demise	illness	necrosis	molecular biology	pathologic process	cytotoxicity	metabolic process	bodily structure	cellular biology	process	micro-organism
incidental precipitation	flood	ebb and flow	contagious disease	natural disaster	natural occurrence	physical phenomenon	calamity	natural occurring phenomenon	natural phenomenon	natural phenomena	exhalation of air	atmospheric condition	phenomenon	disaster	ebb	natural process	extensor	ebb and flow of water	drenching
local government area	mapmaking	locale	natural elevation	parcel of land	geographic point	place	piece of land	edifice	land mass	natural formation	cartography	land site	on- and off-grid area	h2o	body of water	tract	on- and off-grid space	on- and off-shore area	natural depression/dormant island
person	voyager	traveller	traveler	explorer	travel	journeyman	consciented person	contemporaries	contemporary person	contemporary movement	contemporary character	contemporariness	motion picture	voyage	contemporary companion	dilettant	motor vehicle	lexicographer	diarist
fashion accessory	footwear	shoe	clothing	fashion item	wearable device	product	garment	equipment	anthropomorphism	anthropomorphic organism	anthropomorphic species	footgear	cloth bag	anthropomorphic object	anthropomorphic phenomenon	a shoe	wearable	fabric	wearable equipment
subordinate	aristocrat	person	officeholder	leader	executive vice president	boss	chief	hexadecimal syllable	hebdomadaryan form of address	vice-presidential title	hebdomadaryan term	hexadecimal syllable.	hebdomadaryan noun	hexadecimal latin alphabet	vice-president	executive vice-president	presiding officer	high ranking person	senate or upper house
person	actor	film producer	fictitious character	writer	man of letters	narrator	sportsperson	film maker	film director	person of interest	playwright	speaker	fictional character	character	theoretis	hero	headmistress	fictitious person	aficionado
clothing	clothes	painter	person	outerwear	coat	uniform	robe	manifold	mante	outer garment	suit of clothing	overgarment	man in a white coat	covering overclothes	protective covering	man in a man's wardrobe	man in a man's life	covering overcoat	man in a man's clothes
monetary unit	money	coin	economics	sum	monetary system	unit of measure	monetisation	indisputable evidence	denominator	intangible good	indispensability	monetization	means of payment	indisputable truth	electronic media	medium	economic unit	monograph	written document
problem	trouble	obstruction	kink	snag	difficulty	obstacle	tangle	piss	hazard	stuckness	crotch	stuck in the mud	flaw	abrasion	axiom	kinematics	piss and catch	roadblock	stuck in the path
city	line of descent	place of worship	family name	social stratagem	cartography	fictitious character	godhood	town	fictitious city	place of residence	person	mountain	mount	edifice	local government	government	county town	carnivory	fictional character
crystals	hair	natural fiber	hair product	natural substance	natural hair	natural product	animal fur	natural fibre	natural dye	hair material	plant material	plant hair	fine hair	natural hair product	cloth	natural dye and natural pigment	hairdresser	flowering plant	hairdressing machine
person	owner	possessor	holder	homonym	proprietor	homonyms	legal person	corporator	corporation	enterprise	law-abiding citizen	law-abiding person	social controllable disorder	homonymous person	monetary unit	horoscope	lawfulful owner	proprietorship	boss
stomach	body part	organ	gastrointestinal tract	gastrointestinal system	intestine	moleculature	molecular biology	molecular body part	abdominium	thermidor	abdominal organ	biomedical science	distasteful substance	corporeal body part	corpus	corporeal organ	corporeal part	anatomy	corporeal structure
phenomenon	natural phenomenon	observable	theosophysicist	light	person	visible light	photoelectric dynamo-hydraulic device	celestial body	ray	celestial observance	luminous state	observer	scientist	ray of sunlight	ray of light	luminous medium	luminous substance	photoelectric dynamo-condensator	photoelectric dynamo-hydraulic unit
transport	working man	transportation	move	moving	movement	horse-drawn vehicle	cart	work of art	workingman	cartage	workman	worker	passenger transport	carting	horse-drawn chariot	trajectories	agro-forestry industry	motorized wheeled cart	agro-forestry product
city	town	mapmaking	street name	locale	street	built environment	set piece of land	making	local government district	local government area	piece of land	set piece of work	place of administration	drawing	set piece of music	place of assembly	historical city	cartography	parkland
animal	person	work of art	horseback rider	horse	persuader	aboriginal person	oxen	stepper	persuasion	foot olympic sport	workhorse	equus	jock	animal form	hoofed mammal	persuader/performer	dancer	performer	foot olympiad
person	poetical character	music group	writer	poet	artist	film	actor	playwright	fictitious character	fictitious creature	rock band	musician	rock group	lexicon	spoken word	animal	public person	literary work	lexical class
person	leader	thespian	politician	photographer	musician	actor	writer	political leader	author	singer	wrestler	sportsperson	social worker	fictional character	chief	lexicographer	satirist	horologist	fictitious character
facility	nuclear power plant	constructed structure	plant	nuclear facility	built-up structure	work of art	power plant	structure	nuclear power station	built environment	built structure	centrale nuclear power plant	built-up	building	build-up	building complex	nuclear energy facility	power station	electricity producing unit
