doing wrongdoing	wrongful conduct wrongdoing	adjustment slander	doing malice wrong	doing malice 	doing malice mal	doing malice malicious	doing malice evil	ness malice wrongful conduct	adjustment bad faith	adjustment wrongness	doing malice bad	adjustment maltreatment	doing wrongful act	ill will malice maliciousness	ness maladjustment	adjustment wrong doing	ness malice wrongful act	adjustment bad intention	ness malice ill will
 inventer inventer	 inventer inventor	 inventer concei	 inventer</s><pad><pad><pad>	 inventor inventer	 inventor invent	 creator</s><pad><pad><pad><pad><pad>	 inventer thinker	 inventer initiator	 inventor entrepreneur	 savant inventor inventor	 inventor entrepreneur</s>	 inventor invente	 inventer invent	 inventor inventor in	 inventer evalu	 inventer coiner</s>	 inventor inventor</s><pad>	 inventer thinker</s>	 inventer inventor in
 illness disease bodily process	 process disease biological process	 pathological state biological phenomenon	 biological process disorder disease	 disease biological process disease	 illness biological process disease	 process biological process bodily	 biological process disease bodily	 bodily process biological process	 process biological process disease	 bodily process disease process	 pathological state disease process	 bodily process disease death	 process biological process biological process	 illness biological process natural process	 bodily process biological process</s>	 biological process biological phenomenon process	 biological process biological phenomenon disease	process biological process</s><pad><pad><pad>	ly process disease disease biological
 calamity natural phenomenon	 natural phenomenon calamity	 physical phenomenon natural phenomenon natural	 calamity natural phenomenon	 calamity natural disaster	phenomenon natural phenomenon physical phenomenon	 physical phenomenon physical phenomenon natural	 calamity physical phenomenon	 physical phenomenon natural phenomenon physical	 calamity weather	 physical phenomenon natural phenomenon natural	 natural phenomenon disaster natural phenomenon	 natural phenomenon disorder natural phenomenon	 physical phenomenon natural phenomenon</s><pad>	 physical phenomenon physical phenomenon</s><pad>	 natural phenomenon natural disaster 	 natural phenomenon natural phenomenon</s><pad>	 natural phenomenon flood natural phenomenon	 physical phenomenon natural phenomenon 	 physical phenomenon natural phenomenon 
 small island piece of land	 plot of land piece of land	of land piece of land piece	 piece of land piece of land	government island piece of land	of land piece of land island	 plot of land parcel of land	 piece of land piece of ground	 piece of land body of water	 point of entry piece of land	 plot of land piece of ground	 body of water natural elevation	 space piece of land piece	of land land parcel piece of	of land piece of land parcel	 space piece of land island	 point of entry piece of ground	 land piece of land piece	 land piece of land map	 land piece of land island
ler traveller ship ship	 travel ship traveller	 travel traveler traveler	 travel ship travel travel	ler travellers traveller	ler traveller vessel traveler	 travel ship traveler	ler traveller traveller	ler travellers travel	 travel ship voyage travel	 travel voyager voyager	 traveller journey travel	 travel ship travel ship	 travel traveler journey	 voyage traveller traveler	er traveler traveller	 travel traveler traveller	 travel traveller ship	 travel traveller voyage	 traveller traveler ship
specification shoe piece of equipment	 footwear piece of equipment footwear	specification shoe sock	sock shoe footgear	specification footbed footgear	specification footwear shoe technical specification	 footwear piece of equipment shoe	specification footwear shoe piece of	of art piece of equipment footwear	of art work of art footwear	sock shoe</s><pad><pad><pad>	sock shoelace e	sock shoelace footge	specification shoe shoelace specification	 footgear footing	of art piece of equipment shoe	specification footbed footsock	sock shoelace s	of art piece of equipment work	specification shoe foot protection shoe
olympic sport person	 person chief chief of staff	olympic sports sporting event	 boss chief executive boss	 person chief chief executive	olympic sports sports club	 boss person chief chief	 chief of state boss boss	 chief of state executive leader	 person chief chief executive	 chief of state executive boss	 boss chief executive person	 leader person chief chief	 leader boss person chief	 chief of state leader person	olympic sports sports team	 chief of state executive executive	 chief of state boss chief	 boss person chief leader	 chief chief of staff executive
 poet poetess	 writer</s><pad><pad><pad><pad><pad>	 artist poetess	 poet writer poetes	 poet poetess</s>	 artist poet poetes	 storyteller writer person	 person writer</s><pad><pad><pad>	 composer songwriter musician	 artist person writer-in	 storyteller person writer	 poetess poete	 composer songwriter music director	 poetess writer</s>	 storyteller writer poete	 writer poet painter</s>	 journalist person writer</s><pad>	 artist poetess</s>	 writer artist</s><pad><pad><pad>	 artist painter writer
 coat of arms suit of clothing	 uniform suit of armour	 coat coat of arms clothing	 coat of arms uniform clothing	 outerwear suit of clothes	 coat of arms outerwear	 coat of arms uniform clothes	 coat coat of arms clothes	 coat of arms outer garment	 coat of arms suit of clothes	 coat of arms outer clothing	 suit suit of clothes suit	 outerwear suit of clothing	 suit suit of clothes uniform	 coat of arms clothes clothing	 coat of arms clothing clothing	 coat of arms clothing uniform	 coat coat of arms coat	 coat of arms coat of arms	 coat of arms jacket uniform
 value money value money	 store of value account account	 physical property account account	 physical property sum money	 monetary unit</s><pad><pad><pad>	 unit of measure money money	 store of value account money	 value account value money	 physical property account money	 monetary unit value money	 storage account money account	 value money value account	 store of value currency account	 state of affairs money money	 storage account money storage	 store of value money account	 state of matter sum money	 value sum value money	 state of matter sum sum	 unit of measure money account
assembly piece of equipment mechanical assembly	tampon tampon	assembly piece of work piece of	assembly piece of equipment piece of	assembly work of art piece of	tympanian t	tampon tack	assembly mechanical assembly piece of work	assembly piece of work mechanical assembly	assembly mechanical assembly piece of equipment	tampon tef	assembly work of art construction	assembly piece of equipment</s><pad><pad>	assembly mechanical assembly piece of material	of art piece of fabric fabric	tampon tegu	assembly work of art s	of art snag piece	of art piece of fabric 	of art piece of work</s><pad>
site piece of ground piece of	 city parcel of land piece	site piece of ground tract	site parcel of land piece of	 city piece of land parcel	 city piece of land land	horsie horsie	site parcel of land parcel of	 town piece of land land	equator equator	 city piece of land piece	 town piece of land parcel	site piece of land parcel of	site piece of ground land site	 city parcel of land parcel	site piece of ground parcel of	 city hamlet</s><pad>	 city piece of land 	 city hamlet town	 city province township
 cloth hairspray	stylar clothing	stylomany	flannel cloth wool	twig hairsphair	stylar fabric	stylomane	flannel fl	flannel wool hair	flannel fabric cloth	flannel cloth fabric	flannel wool 	stylar hairpiece	flannel af	stylar cloth	flannel pile of wool	flannel wool fabric	flannel cloth</s><pad>	 cloth hair accessory hair	flannel fabric wool
person persona non grata	owner person firm person	holder person holder owner	holder person owner holder	entity person business organization business	owner person firm person</s>	holder person owner</s><pad><pad>	holder person holder</s><pad>	owner person owner</s><pad><pad>	 person owner firm business	name person legal name legal	entity person owner</s><pad><pad>	entity person business organization owner	owner person firm owner</s>	person persona owner person	name person legal name business	holder owner</s><pad><pad><pad><pad>	owner person business organization person	owner person proprietor owner</s>	holder occupier person owner
part body part organ body	part body part bodily structure	part bodily structure organ	part body part body part	part body part organ bodi	 body part bodily structure	part intestine organ	part body part organ 	part internal organ body part	part organ body part</s><pad>	part body part muscul	part organ body part body	 organ</s><pad><pad><pad><pad><pad>	structure organ body part body	part musculus organ	part body part organs	part bodily structure bodily	part musculus body	part body part bodily organ	part body part body structure
condition natural phenomenon weather condition	condition natural phenomenon natural phenomenon	condition natural phenomenon atmospheric phenomenon	condition natural phenomenon atmospheric condition	condition natural phenomenon phenomenon natural	 natural phenomenon phenomenon natural phenomenon	 natural phenomenon weather atmospheric phenomenon	phenomenon observable phenomenon	 natural phenomenon ray of light	condition natural phenomenon observable	 natural phenomenon weather natural phenomenon	 light natural phenomenon phenomenon	 natural phenomenon natural phenomenon natural	condition natural phenomenon phenomenon 	 atmospheric phenomenon natural phenomenon weather	 natural phenomenon ray natural	condition natural phenomenon phenomenon light	condition natural phenomenon phenomenon weather	 natural phenomenon natural phenomenon phenomenon	 natural phenomenon natural phenomenon phenomenon
 moving-picture show moving	 moving-picture show transportation	 moving-picture show transport	 moving-picture show traveling	 move moving-picture show	picture moving picture moving picture	 moving-picture show travel	 moving-picture show move	 move transportation conveyance	 transportation moving-picture show	 moving conveyance moving-	 moving-picture show travelling	 moving transport mode of transport	 move transportation moving-pic	ized transport transportation means of transport	 moving-picture show 	e moving picture transport moving	picture moving picture transport moving	 moving conveyance conveyance	e moving picture transportation moving
 work of art moving picture	work musical group musical group	wrighting work of art	 musical work moving picture show	 work of art picture show	tv program tv series	 musical work moving picture moving	 work of art work of art	 musical work moving picture work	 work of art musical composition	group musical work musical group	 musical work musical composition musical	work work of art piece of	 work of art musical work	wrighting musical group musical	work musical group musical group</s>	 musical work moving picture song	 musical work musical work picture	 musical work motion picture work	 musical work musical work pic
 means of transport passenger transport	transport mode of transport passenger transport	transport mode of transport travel	 means of transportation passenger transport	 traveler traveling traveler	 mode of transport passenger transport	 means of transport moving-pic	transport mode of transport transport	 travel moving-picture show	-picture show moving-pic	 traveler travel passenger transport	 traveler traveling traveller	-picture show traveling moving	-picture show transport moving	 traveler travel traveller	 mode of transport travel passenger	 traveler travel traveler	 traveler traveling travel	 traveler travelling traveller	 means of transport travel moving
fictitious person fictional character	fictitious character person fictional	fictitious character fictional character	fictitious character person 	fictitious character fictional character</s>	character fictitious character	fictitious character fictiti	fictitious character person imaginary	 writer poetess</s>	 poetess poete	 writer poetess	fictitious character person character	fictitious character imaginary creature	character fictitious character</s>	organization political organization political organisation	 oboist person	fictitious character mythical character	 poetess</s><pad><pad>	 oboist 	fictitious character imaginary being
 writer writer</s><pad><pad><pad>	</s><pad><pad><pad><pad><pad><pad><pad>	 writer</s><pad><pad><pad><pad><pad>	 playwright writer play	 playwright writer drama	 playwright writer</s><pad>	 writer writer writer poet	 writer writer personel	 writer writer poet</s><pad>	 fictitious character person	 writer writer writer of poetry	 sportsperson sportsperson</s><pad>	 playwright writer poet	 writer writer person of note	 playwrighting writer	 writer writer person</s><pad>	 writer writer fictiti	 writer writer poet poet	 person personage writer	 sportsperson athlete sportsperson
plant plant industrial plant plant	plant plant plant site facility	plant construction site power plant	plant plant plant site power	plant plant plant site construction	plant plant industrial plant facility	of art plant power plant	plant work of art plant	plant plant plant site plant	of art power plant plant	plant plant plant site nuclear	plant plant plant site 	plant plant plant site site	plant plant plant site industrial	plant plant manufacturing plant plant	plant plant construction site plant	plant construction site energy plant	plant plant plant site engineering	plant plant plant site constructed	plant plant plant site manufacturing
phenomenon weather windstorm atmospheric	phenomenon weather atmospheric condition wind	phenomenon weather atmospheric condition atmospheric	phenomenon windstorm atmospheric phenomenon	phenomenon cyclone natural phenomenon	phenomenon natural phenomenon windstorm	phenomenon natural phenomenon atmospheric storm	phenomenon atmospheric condition natural phenomenon	phenomenon storm natural phenomenon weather	phenomenon natural phenomenon cyclone	phenomenon weather prevailing wind	phenomenon atmospheric condition atmospheric phenomenon	phenomenon atmospheric phenomenon weather atmospheric	phenomenon weather atmospheric condition current	phenomenon weather atmospheric condition natural	phenomenon weather atmospheric condition physical	phenomenon weather natural phenomenon atmospheric	phenomenon weather natural phenomenon storm	phenomenon natural phenomenon storm atmospheric	phenomenon storm natural phenomenon phenomenon
judicial person judge jurist	 warrant warranted action	or person jurist judge	document legal document legal document	judicial person jurist jurist	 legal expert legal expert legal	 warrant warranting officer warrant	 warrant warranting warrante	judicial person judge person jur	document warrant legal document legal	 warrant warranting legal document	room legal expert legal expert	judicial person jurist person	 legal person legal expert legal	 warrant warranting legal process	judicial person judge person court	name legal name legal name</s>	 warrant warranting legal proceeding	or person judge justice	or person jurist jur
astronomy astronomical object	astronomical object physic	model physics mathematical model	astronomical object astronomical object	astronomy mathematical process mathematical process	science particle accelerator particle accelerator	astronomical object astronomer	program computer code computer program	model physics natural phenomenon	astronomical object astronomical structure	astronomy mathematical process geophysical	astronomical object mathematical function mathematical	model physics mathematical process	astronomy geophysical object 	astronomy mathematical process mathematical function	astronomy geophysical object mathematical	astronomy geophysical object physical	astronomy geological phenomenon 	astronomy geophysical object particle	astronomy mathematical process geophy
program software package software application	 software program software package software	 software program software program software	program software package software program	application software program software package	application computer code software package	 software program software application software	application computer code software program	application software package software package	application application program software program	application computer software software package	 software program software package software	program software package software package	 software package software program software	 software program software program software	 software package software program computer	 computer code software package computer	 computer code software program software	 software program software program computer	 computer code software package software
</s><pad><pad><pad><pad><pad><pad><pad>	. every piece of furniture piece of	of art structure piece of furniture	of art edifice	of art piece of work stack	ing stack stacking stack	of art structure piece of work	. every piece of equipment in a	. every piece of equipment on top of	ing stack stacking order	. every piece of furniture stack	ing stack stackable stack	. Every piece of furniture piece of	 stackable structure stack stack	of art piece of work piece	of art piece of equipment piece	. every piece of equipment on top	ing stacking stack stack	of art piece of work construction	of art piece of furniture stack
 domesticated animal animal</s><pad>	 domestic animal animal animal product	 domesticated animal domesticated animal	 animal domesticated animal domestic	 domesticated animal animal domestic	 livestock domestic animal animal	 mammal animal species	 domesticated animal fowl	 mammal animal breed	 domesticated animal animal 	 domesticated animal animal species	 animal animal research animal	 mammal animal</s><pad>	 domesticated animal horse animal	 domestic animal domestic animal animal	 domesticated animal livestock animal	 domesticated animal livestock animal	 domesticated animal animal animal	 domestic animal domestic animal domestic	 domesticated animal animal domestic
action social control social action	action political organisation social action	action behaviour social action social	action social control behavior social	action political organisation political ideology	normative behaviour social control norm	state mental illness mental illness	state mental illness mental state	action social control action social	action social control social interaction	action behavior social action social	normative behaviour social norm social	action social control behaviour social	action social control behavioural science	state mental disorder mental state	action social control social movement	normative behaviour social norm norm	normative behaviour social action behaviour	normative behaviour normative behaviour	action social control behavioural theory
installation military base military installation	installation fort fortification	installation fort military base	base fort military installation	installation military installation fort	post fort fortification	base military base fort</s>	base military base fort	exercise military installation military base	installation fort construction site	unit fort military installation	base military base fortress	base military base military installation	installation site military base military	installation military base military establishment	t military base military installation	installation military base fort	installation fort fortress	installation military installation fortification	base military base post military
 nut woody plant	 woody plant woody plant	y plant hardwood tree hardwood	 tree nut tree tree	animal tree woody plant	animal tree woodland animal woodland	 woody plant forest tree	 woody structure woody plant	y plant tree nut	 tree nut tree 	 shrub hardwood tree tree	 tree nut tree wood	 nut tree</s><pad><pad>	 tree tree nut	 woody plant tree wood	 shrub woody plant shrub	 nut hardwood tree	y plant hardwood tree hardwood tree	 woody plant tree tree	y plant hardwood tree tree
range atmospheric state atmospheric phenomenon	process boundary condition boundary line	extreme atmospheric condition atmospheric phenomenon	range atmospheric condition atmospheric condition	process boundary condition boundary plane	extreme atmospheric condition natural temperature	extreme atmospheric phenomenon atmospheric condition	 atmospheric phenomenon atmospheric condition atmospheric	process boundary condition boundary point	range atmospheric state physical property	phenomenon boundary condition physical phenomenon	range atmospheric state atmospheric condition	 weather natural phenomenon weather condition	extreme atmospheric condition atmospheric state	climatic state atmospheric phenomenon atmospheric	 weather natural phenomenon atmospheric condition	phenomenon boundary atmospheric condition atmospheric	climatic state atmospheric phenomenon temperature	temperature temperature atmospheric phenomenon atmospheric	climatic state atmospheric phenomenon weather
assembly mechanical assembly mechanical assembly	assembly mechanical assembly electronic component	control control system electronic component	program software program software program	program computer software computer program	program computer programme software package	assembly mechanical assembly computer code	program computer software computer programme	program software program electronic computer	programme computer code computer software	assembly mechanical assembly electronic device	program software program computer programme	assembly computer program computer software	program computer software software software	assembly mechanical assembly mechanical assembly</s>	assembly machine mechanical assembly mechanical	assembly mechanical assembly control mechanism	assembly mechanical assembly mechanism mechanical	assembly mechanical assembly mechanism mechanism	assembly mechanical assembly machine mechanism
code application program application program	program software program software package	package software program software program	code application program software program	program computer software software package	package software program computer code	programme software package software program	 application software software program application	package software package software package	package software program software package	game software program computer game	game computer programme computer program	code computer software computer game	game computer program computer program	programme software package computer software	program application application program software	game software program computer software	 software program application program computer	program program computer software software	programme software package software package
system state republic political system	 political organisation political system political	system parliamentary system government	system state political system republic	system state government political system	system state political system 	 political organisation political system 	system parliamentary system state	system governing republic political	system state political system political	 political organisation political organisation political	system state political system government	system state political system system	organization state political system government	organization constitution political organization political	 political organization political system state	system state political system state	 political organisation political system government	organization constitution governing political	organization political organisation republic political
 work of art picture show	 work of art moving picture	 show tv show	organization musical group group event	 show tv program	organization musical group musical group	 musical composition show picture show	 tv show t	 musical work musical work musical	 musical work moving picture show	tv program television show 	 musical group musical group musical	tv program show television program	 tv show television program	tv program musical work television	tv program television show television	tv program show television show	tv program musical work 	 musical group musical group comedy	 musical work musical group musical
government place of business city	edifice township	edifice built structure	 edifice public	edifice built environment	edifice town community	edifice urban area	edifice town town	edifice town city	 edifice 	government place of business public building	 edifice map	 edifice town	government place of business town	h2 locale town locale	government place of business community	government district public building city	government place of business government	 edifice locale	government place of business municipality
 township piece of land	 city piece of land piece	 city township city district	 municipal government tract of land	 city</s><pad><pad><pad><pad><pad>	 city piece of land map	 city piece of land parcel	 city township municipal corporation	 town township municipal government	 city township municipality	 town municipality township	 city township locale	building township township	 city piece of land land	 city piece of land plot	 city township metro station	 hamlet hamlet	 city piece of land tract	 township municipal corporation corporation	 locale city city district
 elevation natural elevation mountain chain	 elevation mountain chain elevation	pine region mountain elevation	pine region mountain mountain range	 elevation terrain elevation change	pine locale mountain elevation	 elevation natural elevation mountain range	 mountain elevation mountain range	 geographic feature mountain elevation	pine region mountain range mountain	 elevation mountain range elevation change	range topographic region elevation	pine region mountain terrain	 mountain mountain range elevation</s>	 mountain mountain range elevation	pine locale mountain range elevation	 elevation mountain chain mountain range	 geographical point mountain range elevation	pine region mapmaking mountain	range topographic region mountain range
document application application application	 letter letterform request	doctrinal document petition	 written communication request written document	 application written communication application	 letter request written communication	eulogy written document 	doctrinal document request	 letter letterform application	document application application written document	document application application application</s>	doctrinal document written document	eulogy written document written	e-mail communication medium electronic	 letter written document written communication	eulogy written document letter	 letter letter of intent request	e-mail communication medium written	 letter written document requestor	eulogy written document legal
program computer programme computer code	program software application software program	program software program computer program	program computer program software program	programme software package software program	program computer code computer program	programme software package computer code	programme computer code computer program	programme search engine computer programme	program computer software software package	program computer program computer code	software computer program software package	software computer program computer programme	programme search engine software program	programme computing system computer programme	program computer program computer programme	program software program computer programme	software computer program computer program	program computer code computer software	 computer code computer program computer
keeper shopaholic shopkeeper	establishment shop shopkeeper shop	e-commerce shop shop	 shop</s><pad><pad><pad><pad><pad>	establishment shop shopkeeper business	e-commerce site shop shop	establishment shop shopkeeper trade	keeper shopaholic person	edifice shop establishment	keeper shopkeeper</s><pad><pad><pad>	 shopkeeper person shopkeeper	 shopkeeper shopkeeper</s><pad>	edifice shop store	edifice shop shop	 place of business shop</s><pad>	 shop shop</s><pad><pad><pad>	e-commerce site shop store	e-commerce shop shop</s>	e-commerce site shop retail	establishment shop business shop
 place of worship sacred space	 public building place of worship	 natural environment place of worship	 property property rights property	 place of worship sacred place	 place of worship sacred site	 place of worship sacredness	 legal function legal status legal	 natural environment place of residence	 place of worship sacred ground	 apologies apology	 public building space space	 apologies 	 place of worship sacred space</s>	 protection protection protection protection	 property property rights legal status	 space area of space space	 space area of space 	 protection protection protection</s><pad>	 space area of study 
 saxophone	 musicianship instrumentalist	 singer oboist	 vocalist horn player	 saxophonist	 oboist 	 saxophone player	 musicianship instrument musician	 oboist musician	 player musicianship musicianship	 musicianship instrumental music musical	 musicianship instrument musical instrument	 oboist player	 percussionist hornist	 oboist person	 percussionist horn player	 musicianship instrument instrument	 percussionist person musician	 oboist music	 singer musicianship musicianship
 politician politician</s><pad><pad><pad>	 chief of state political leader	leader politician leader politician	 politician chief of state political	 politician political leader person	figure politician person political leader	figure politician politician</s><pad><pad>	 politician chief of state politician	 person political leader politician	 political leader person political leader	 person political leader political leader	 political leader leader person	 public figure politician political leader	 politician chief of state person	 politician chief of state leader	 politician political leader politician	 politician chief of state president	leader politician leader politician</s>	 politician person</s><pad><pad><pad>	 politician political leader politician
 young person child person	adolescent person	 child childless person person	 person kiddoh	 person child</s><pad><pad><pad>	adolescent child	 person child</s><pad><pad><pad>	 young person child young person	adolescent person</s>	adolescent youngster	 young person child person</s>	 young person child teen	 child childless person adult	 young person childbirth young	 young person childbirth child	 child childless person</s><pad>	person person young adult child	 child person</s><pad><pad><pad>	 person youngster child</s>	 child</s><pad><pad><pad><pad><pad>
 doubt skepticalness skepticalness	 doubt doubting doubting	 skepticalness skepticalness</s><pad>	 doubt doubting skepticalness	 skepticalness skepticalness</s><pad>	 skepticism skeptical	 skepticalness doubt skepticalness	 skepticalness skept	 doubt scepticism	 doubt skepticalness</s><pad><pad>	 skepticalness skepticalness skeptical	 doubt skepticism	ness skepticism</s>	 doubt scepticism</s>	 doubt suspicion skepticalness	 doubt skepticalness doubt	 skepticalness skepticalness doubt	 skepticism doubt	 skepticalness</s><pad><pad><pad><pad>	 doubt doubting s
hand right hand handwriting	hand hand bodily structure	hand left hand hand hand	hand hand bodily function	hand limb hand hand	hand right hand hand of honor	hand hand handwriting hand	hand left hand side left hand	hand right hand hand position	hand right hand side left hand	hand right hand left hand side	hand hand handwriting writing	hand right hand left hand	hand left hand side hand position	hand right hand position left hand	hand right hand hand of God	hand hand hand position hand	hand left hand</s><pad><pad><pad>	hand right hand hand hand	hand right hand position hand motion
 actor</s><pad><pad><pad><pad><pad>	 sportsperson athlete sportsperson	 sportsperson</s><pad><pad><pad><pad>	 athlete sportsperson sportsperson	 athlete competitor athlete person	 sportsperson athlete competitor	 sportsperson athlete sportswoman	 sport sportsperson athlete	 athlete competitor athlete sports	 sport sportsperson</s><pad><pad>	 sport sportsperson sportsperson	 sportsperson sportsperson</s><pad>	 athlete sportsperson person	 sportsperson person</s><pad><pad>	 sport athlete sportsperson	 sportsperson sportswoman athlete	 sportsperson jock athlete	 sportsperson contestant sports	 athlete competitor athlete athlete	 sportsperson contestant athlete
back rider horseback rider	man person horseback rider	 rider horseback rider	shaman shaman	man horseman horseman	 animal horseback rider	 horse horseback rider	man horseman rider	man person horsemanship	man horsemanship horseback	back rider horse rider	man horseman person horse	man horseman horsemanship	back rider horse riding horse	man horseman person 	man person horseback riding	back rider horseman 	man person jockey horse	 riding horse animal horseman	man person horseman 
monetary unit</s><pad><pad><pad><pad><pad>	monetary unit money unit currency	monetary unit monetary unit money	monetary unit currency currency unit	monetary unit currency unit money unit	monetary unit monetary unit currency	monetary unit money unit unit of	monetary unit monetary unit unit	monetary unit currency unit of measure	monetary unit currency unit</s><pad><pad>	monetary unit monetary unit cash	monetary unit monetary unit</s><pad>	monetary unit monetar currency	monetary unit monetar money	monetary unit monetary unit payment	monetary unit money value currency	 mode of transport means of transport	monetary unit money unit currency unit	monetary unit currency money unit	monetary unit money currency 
 built-up public building	 built-up constructed structure	 built-up habitation	 built-up abode	 constructed structure appartment	 dwelling structure dwelling unit	 built structure habitation dwelling	 constructed structure habitation dwelling	 dwelling built structure dwelling unit	 built-up constructed structure</s>	 constructed structure habitation 	 built-up living space	 built structure dwelling house dwelling	 constructed structure habitation living	 built-up living quarter	 built structure place housing	 dwelling built structure space	 built-up dwelling</s><pad>	 built-up habitation</s>	 dwelling structure dwelling unit</s>
part body structure body part	part body structure body structure	assembly piece of equipment body structure	utensil piece of work	utensil work of art	assembly piece of equipment support	assembly piece of equipment piece of	utensil piece of equipment	utensil support 	structure piece of land surface	assembly piece of equipment form	assembly piece of equipment device	part piece of equipment body part	utensil device support	utensil support piece	assembly piece of equipment cylinder	assembly piece of equipment apparatus	utensil</s><pad><pad><pad>	assembly piece of equipment mov	structure shape body part body
 naturalist</s><pad><pad><pad><pad>	 observer observer</s><pad>	 philosopher thinker naturalist	 observer observer natural	 philosopher naturalist</s><pad><pad>	ist person philosopher philosophere	 writer thinker naturalist	 writer thinker thinker	 thinker naturalist</s><pad>	ist person philosopher thinker	 observer observer observe	ist person philosopher naturalist	ist person scientist naturalist	 natural person</s><pad><pad><pad><pad>	 observer naturalist</s><pad>	ist person philosopher writer	ist person philosopher observer	 writer thinker scientist	 observer observer philosopher	ist person philosopher person of
r olympic sport	olympic sports sport	r olympic sports	cyclist olympic	olympic sports team sport	olympic sports type of	olympic sport competitor	olympic sports o	cyclist competitor racer	olympic sport sport	olympic sport race	 team sport racing team racing	olympic sports race car	car car racing car automobile	 team sport racing team motor	car car racing car car	olympic sport race track	car car racing car racing	car car racing car vehicle	car car racing car motor
ogen microorganism micro	ogen micro-organism	sludge scum	lecular entity micro-organis	 dust mite dust mite	ogen pathological state pathogen	lecular entity particle mole	ogen microorganism proto	ological state chemical phenomenon pathogen	ogen microorganism</s><pad>	ological state pathological state 	 dust mite particle 	 dust mite particle dust	ogen microorganism 	ogen microorganism path	sludge dirt s	lecular entity particle s	lecular entity particle molecule	 dust mite particle dirt	ogen pathological state pathological
olympic sport sport	olympic sports sport	olympic sports o	olympic sport sports event	olympic sport sporting event	oxen oxen	olympic sport sport event	eagle olym	olympic sports figure	olympic sports gir	part bodily structure figure	olympic sports sports activity	us olympic shape	part body structure shape body	olympic sport sports	part bodily structure body part	olympic sports sportsperson	oxen ox	olympic sport sportsperson	olympic sport sportsman
 sportsperson</s><pad><pad><pad><pad>	 actor</s><pad><pad><pad><pad><pad>	 actor actor</s><pad><pad><pad>	 sportsperson athlete sportsperson	 sportsperson athlete person</s>	</s><pad><pad><pad><pad><pad><pad><pad>	person athlete person sportsperson	 sportsperson sports fan athlete	 writer sportsperson athlete	person athlete person athlete	 writer athlete athlete person	 actor sportsperson person</s>	 writer sportsperson sportsperson	 writer sportsperson</s><pad><pad>	 writer athlete sportsperson	 actor sportsperson sportsperson	 athlete sportsperson</s><pad><pad>	 movie maker film producer film	 sportsperson athlete person	 writer sportsperson person</s>
</s><pad><pad><pad><pad><pad><pad><pad>	 writer</s><pad><pad><pad><pad><pad>	 writer public speaker speaker	 writer writer</s><pad><pad><pad>	 writer journalist person</s><pad>	 person chief political leader	 writer poetess</s>	 person chief leader leader	 writer poetess	 person chief leader politician	 entrepreneur businessman 	 playwright writer</s><pad>	 entrepreneur business person business	 writer public speaker speaker</s>	 entrepreneur businessman business	 academician person academic	 entrepreneur business person 	 writer teacher teacher trainer	 playwright writer play	 writer journalist writer</s><pad>
feature country piece of land	point island piece of land	point island nation piece of land	point unit of time space	point country island geographical point	point unit of measurement piece of	 polity political unit	point unit of measurement point of	of water continent political unit	point unit of time e	 state territory polity	point unit of measure space	point unit of measure region	point unit of time geographic location	point island equil	point island equid	feature country piece of land</s>	point unit of time geographic region	point unit of time geographic area	point unit of measure geographic region
 engineer physicist	 writer legal expert legal expert	 politician chief political leader	 lawyer legal expert jurist	 politician chief of state politician	ful person jurist legal expert	maker person jurist jur	 lawyer legal expert juri	 writer legal expert jurist	ful person jurist lawyer	 entrepreneur entrepreneur business	 politician chief of state leader	 lawyer legal expert lawyer</s>	maker person legal expert jur	 engineer architect engineer</s><pad>	spian actor actor person	 politician chief of state chief	 entrepreneur businessman business	 entrepreneur entrepreneur person	 writer legal expert lawyer
document legal opinion legal opinion	organization social action social control	organization social action political action	opinion opinion opinion opinion	organization social action social action	organization campaign political party political	organization social action public policy	document written agreement written agreement	organization social movement political organisation	organization political action legal opinion	organization social movement social action	organization political action political organisation	organization social action public administration	organization political action political organization	document legal opinion argument written	organization social movement political organization	organization legal opinion opinion opinion	organization legal opinion opinion political	document legal opinion argument opinion	opinion opinion opinion o
name title title of respect	of respect title of respect title	 title of respect title of respect	ly title title of respect	 title patron title of respect	name legal name title legal	ship title title of respect	oath oath	 office title title of respect	 office title of respect person	name legal name legal name	 title of respectability title of	 office title of respect title	name legal name person legal	name legal name person title	 title of respect person title	oath title o	 title title of respect title	name legal name title title	 title honorific title of
 clothing sex act	h2o h2o	of clothing clothing piece of clothing	h2o state clothing	of clothing attire piece of clothing	 clothing sex wear	 clothing utensil	h2o state h	h2o state of matter	 clothing sex activity	of clothing attire piece of equipment	 clothing utensils	h2o state wear	 clothing clothing</s><pad><pad><pad>	of clothing clothing fashion clothing	 apparel clothing type clothing	h2o wear physical property	horoscope clothing clothing	 fashion clothing</s><pad><pad><pad>	h2o state body part
 deception ruse	hood pretext deception	suasion pretence	suasion pretense	rivance presumption	suasion deceit	 deceit deception	 deceit deceit	suasion presump	hood pretext ruse	 prevarication falsehood	hood pretext oa	hood preposterity 	hood pretension falsehood</s>	hood preposterity false	hood pretext ad	 fraud ruse scheme	 fraud ruse 	 attempt ruse fraud	 deceit decei
